"Predictor","Coefficient","SE","z","p_value","Significance"
"(Intercept)",0.350216,0.096209,3.640152,0.000272,"***"
"Detail",0.493992,0.097626,5.060027,0,"***"
"Formality",0.343428,0.097041,3.539002,0.000402,"***"
"Length",0.967725,0.102327,9.457222,0,"***"
"Persuasiveness",-0.75758,0.096491,-7.851269,0,"***"
"Structure",-1.047566,0.303792,-3.448297,0.000564,"***"
